DATE	MSCI_WORLD
31/12/1978	10000
31/01/1979	10398.93091
28/02/1979	10248.84902
31/03/1979	10675.22628
30/04/1979	10778.50358
31/05/1979	10708.88094
30/06/1979	10889.84576
31/07/1979	10578.59051
31/08/1979	11036.52485
30/09/1979	11162.3781
31/10/1979	10376.1651
30/11/1979	10651.72398
31/12/1979	10690.89808
31/01/1980	11222.64415
29/02/1980	11331.97652
31/03/1980	10648.95992
30/04/1980	11481.55513
31/05/1980	11524.62086
30/06/1980	11899.47961
31/07/1980	12112.44305
31/08/1980	12593.61022
30/09/1980	12940.50819
31/10/1980	13651.98842
30/11/1980	14720.8097
31/12/1980	14852.77766
31/01/1981	14463.16771
28/02/1981	15492.39271
31/03/1981	16052.98081
30/04/1981	16486.5454
31/05/1981	17151.11818
30/06/1981	17776.10269
31/07/1981	18007.19452
31/08/1981	18130.39452
30/09/1981	16005.21242
31/10/1981	16005.92215
30/11/1981	17009.80602
31/12/1981	16876.43905
31/01/1982	16881.13539
28/02/1982	16385.86841
31/03/1982	16227.94473
30/04/1982	17285.72289
31/05/1982	16273.17834
30/06/1982	16438.28435
31/07/1982	16573.14372
31/08/1982	17882.28376
30/09/1982	18131.55685
31/10/1982	19604.69788
30/11/1982	20986.47137
31/12/1982	21023.74673
31/01/1983	21318.75432
28/02/1983	22163.51842
31/03/1983	23056.5787
30/04/1983	25056.05426
31/05/1983	24962.87157
30/06/1983	26533.10565
31/07/1983	26410.84284
31/08/1983	27411.09773
30/09/1983	27981.2578
31/10/1983	27194.32851
30/11/1983	28639.75623
31/12/1983	29738.38551
31/01/1984	30654.85932
29/02/1984	29221.45524
31/03/1984	29503.60589
30/04/1984	29913.11484
31/05/1984	28694.77473
30/06/1984	28934.33159
31/07/1984	28967.16866
31/08/1984	32229.76566
30/09/1984	33621.36624
31/10/1984	34594.62624
30/11/1984	33559.79206
31/12/1984	35609.46601
31/01/1985	38486.35872
28/02/1985	39993.18254
31/03/1985	41469.22423
30/04/1985	38489.09082
31/05/1985	40743.73146
30/06/1985	40742.04246
31/07/1985	39548.87472
31/08/1985	38498.95294
30/09/1985	39409.12599
31/10/1985	38972.69877
30/11/1985	40349.80151
31/12/1985	41237.07649
31/01/1986	40978.07139
28/02/1986	42907.85004
31/03/1986	45797.31498
30/04/1986	47298.08928
31/05/1986	46334.34643
30/06/1986	48381.8913
31/07/1986	47335.68457
31/08/1986	49922.31552
30/09/1986	47558.04073
31/10/1986	46216.70373
30/11/1986	48660.15999
31/12/1986	48918.98842
31/01/1987	51380.59266
28/02/1987	52132.90809
31/03/1987	55265.51344
30/04/1987	57738.69041
31/05/1987	57113.99375
30/06/1987	58098.78561
31/07/1987	60110.69756
31/08/1987	64152.31022
30/09/1987	61386.36991
31/10/1987	50587.0172
30/11/1987	46366.26792
31/12/1987	46897.08825
31/01/1988	48537.91486
29/02/1988	52830.33749
31/03/1988	53678.89228
30/04/1988	54021.87491
31/05/1988	53453.56984
30/06/1988	55352.1263
31/07/1988	59223.21124
31/08/1988	57212.20877
30/09/1988	59193.67146
31/10/1988	61559.61652
30/11/1988	61167.29304
31/12/1988	61772.09104
31/01/1989	66530.23651
28/02/1989	66917.44002
31/03/1989	66917.03852
30/04/1989	68825.34673
31/05/1989	70004.83492
30/06/1989	70445.63353
31/07/1989	74970.42079
31/08/1989	74270.95275
30/09/1989	77521.37812
31/10/1989	72097.89513
30/11/1989	73885.34541
31/12/1989	73105.463
31/01/1990	67633.18425
28/02/1990	63859.57852
31/03/1990	61036.85056
30/04/1990	59369.44607
31/05/1990	64532.83963
30/06/1990	64488.22911
31/07/1990	63093.46314
31/08/1990	54653.87627
30/09/1990	48953.84083
31/10/1990	51937.28776
30/11/1990	50056.30845
31/12/1990	51690.66156
31/01/1991	53696.0384
28/02/1991	57673.20665
31/03/1991	60905.15711
30/04/1991	64633.6091
31/05/1991	66962.41099
30/06/1991	65151.1265
31/07/1991	68295.93782
31/08/1991	66560.46511
30/09/1991	66401.34318
31/10/1991	67368.85198
30/11/1991	62003.58083
31/12/1991	64385.65319
31/01/1992	63619.82764
29/02/1992	63883.08438
31/03/1992	62480.97344
30/04/1992	62760.41069
31/05/1992	63989.9029
30/06/1992	60057.13906
31/07/1992	57327.54118
31/08/1992	57222.52105
30/09/1992	57988.96907
31/10/1992	58745.71349
30/11/1992	63694.45082
31/12/1992	64147.67491
31/01/1993	65599.61933
28/02/1993	68806.64597
31/03/1993	73133.8825
30/04/1993	73900.18254
31/05/1993	75770.08644
30/06/1993	77307.02051
31/07/1993	82225.09451
31/08/1993	86630.80171
30/09/1993	81629.71662
